id,name,desc,label,labelDesc,hero_type,skillDesc,fragmentsNumber,quality,type,war,warAdd,def,defAdd,command,upStar1,upStar2,upStar3,upStar4,skill,source,hero_icon,icon_harmony,hero_tachie,black_hero_icon,black_hero_name,backGround,recommendedSkill,is_show,show_hero_id,exclude,plat,jp_des,get_show,time,endtime,timeType,skin,active_skill,skin_use,exclude_item,bg_img,is_link_hero,cn_idle_name,idle_name,skintime,skinendtime,skinitemid,idle_action_control,new_active_skill,hero_ui_effect,land_fight_scale,exclusive,upgrade,hero_cap_skill_group_id,hero_cap_skill_des,can_show,hero_cap_sp_type,hero_cap_sp_parma
212,Lee Yewon,As a descendant of the Goguryeo royal family; Lee Yewon grew up during the task of rebuilding her country. For this reason; she has been training hard. As her father died of illness; she lost her position in her family. This misfortune strengthened her resolve to rebuild her country. The war made her hometown become the focus of various forces. Lee Yewon took this opportunity to create armies to fight against the Dark Legion; and thus embarked on the journey of her salvation.,Descendant of Tai Chi,,1,Lee Yewon will receive the counterattack buff at the beginning of the fight; which will dramatically increase the ATK and reduce the DMG received by navy units. The attributes are gradually reduced with unit attacks.,10,5,2,175,35,425,85,400,140|340|0;140|340|0;140|340|0;140|340|0;420|1020|300,280|680|0;280|680|0;280|680|0;280|680|0;840|2040|400,420|1020|0;420|1020|0;420|1020|0;420|1020|0;1260|3060|400,560|1360|0;560|1360|0;560|1360|0;560|1360|0;1680|4080|500,10212,1,image/hero_icon/hero_icon212,,hero_tachie212,image/hero_icon/black_hero_icon212,No. 212,2,,1,,,,,,2020-05-14-0-0-0,2030-05-20-0-0-0,3,2002|2003|2004|2005|2006|2008|2009|2010|2012|2013|2014|2015|2016|2018|2019|2020|2021|2022|2023|2024|2031|2032|2033|2035|2036|2037|2040|2041|2043|2044|2045|2046|2047|2048|2049|2051|2052|2053|2054|2055|2111|2164,,1,,,,,,,,,,,,,,,212,Lee Yewon will receive the counterattack buff at the beginning of the fight; which will dramatically increase the ATK and reduce the DMG received by navy units. The attributes are gradually reduced with unit attacks.,1,,
113,Kate Curry,Kate Curry would do whatever it takes to find the laTest breaking news; literally; she is willing to go to the front lines. She has become a famous frontline reporter with politicians and business leaders also willing to accept her interviews. In order to be more objective in her reports; Kate Curry insists on maintaining a neutral and unbiased style. Having said that; there are rumors that she is working for the intelligence agency of the Freedom League now.,The Frontier,凯特库里，采集英雄,0,Kate Curry can increase the gathering speed of the troop. If the troop defends while at a gathering tile; ATK speed increases.,10,4,2,102,21,198,39,300,80|156|0;80|156|0;80|156|0;80|156|0;240|468|200,160|312|0;160|312|0;160|312|0;160|312|0;480|936|300,240|468|0;240|468|0;240|468|0;240|468|0;720|1404|300,320|624|0;320|624|0;320|624|0;320|624|0;960|1872|400,10113,10,image/hero_icon/hero_icon113,,hero_tachie113,image/hero_icon/black_hero_icon113,No. 113,1,,1,,,,,,,,2,2002|2003|2004|2005|2006|2008|2009|2010|2012|2013|2014|2015|2016|2031|2032|2033|2035|2036|2037|2040|2041|2043|2044|2045|2046|2047|2048|2049|2051|2052|2053|2054|2055,,1,,,,,,,,,1|1;4|1,,,,,,113,Kate Curry can increase the gathering speed of the troop. If the troop defends while at a gathering tile; ATK speed increases.,1,,
1213,Delhuyar3,Marie Delhuyar's father is a well-known mineralogist in the Freedom League. A dedicated scholar who has been working away from home for a long time. Marie grew up without love and attention and gave up her chance to go to college choosing to join the army instead. She wanted to find out why her father was so obsessed with those stones. The same year; Marie's father discovered the existence of Odinium. He was exposed to a lot of radiation; which caused him to get ARS. After realizing the importance of her father's finding; Marie continued her father's studies on Odinium.3,The Prospector3,,2,Delhuyar is pretty good at gathering; especially for gathering the Odinium.3,10,5,1,368,74,232,45,400,296|180|0;296|180|0;296|180|0;296|180|0;888|540|300,592|360|0;592|360|0;592|360|0;592|360|0;1776|1080|400,888|540|0;888|540|0;888|540|0;888|540|0;2664|1620|400,1184|720|0;1184|720|0;1184|720|0;1184|720|0;3552|2160|500,11213,2,image/hero_icon/hero_icon1213,,hero_tachie1213_TerraFormars,,,3,,1,312,312,g123,jp_activityhero1213,,2020-06-15-0-0-0,2020-06-25-0-0-0,1,2034|2035|2036|2037,,,2200045,,1,,,,,,,,,,,,1213,Delhuyar is pretty good at gathering; especially for gathering the Odinium.3,1,,
312,Rockfield,Rockfield; the man at the top of the world's wealth pyramid; whose wealth comes from war. Hypocrite or not; he is the one who wants to end the war most. For this reason; Rockfield has devoted himself in the development of superweapons; a huge weapon that can end all wars.,Tycoon,,2,When our troops are all air forces; super-sized bombard the enemy; causing high DMG and reducing the DMG caused by the enemy navy.,10,5,1,368,74,232,45,400,296|180|0;296|180|0;296|180|0;296|180|0;888|540|300,592|360|0;592|360|0;592|360|0;592|360|0;1776|1080|400,888|540|0;888|540|0;888|540|0;888|540|0;2664|1620|400,1184|720|0;1184|720|0;1184|720|0;1184|720|0;3552|2160|500,10312,1,image/hero_icon/hero_icon312,,hero_tachie312,image/hero_icon/black_hero_icon312,No. 312,3,,1,1213,1213,,jp_activityhero312,,,,2,2120|2159,,1,2200043,,,,,,,,,,,,,,312,When our troops are all air forces; super-sized bombard the enemy; causing high DMG and reducing the DMG caused by the enemy navy.,1,,
1412,hero_name1412,hero_desc1412,hero_label1412,,0,hero_skillDesc1412,10,5,1,446,88,154,31,400,352|124|0;352|124|0;352|124|0;352|124|0;1056|372|300,704|248|0;704|248|0;704|248|0;704|248|0;2112|744|400,1056|372|0;1056|372|0;1056|372|0;1056|372|0;3168|1116|400,1408|496|0;1408|496|0;1408|496|0;1408|496|0;4224|1488|500,11412,2,image/hero_icon/hero_icon1412,,hero_tachie1412_Ultraman,,,1,,1,114,114,g123,jp_activityhero1412,,2020-07-16-0-0-0,2020-07-23-0-0-0,1,2042|2043|2044|2045|2046,,,2200047,,1,,,,,,,,,,,,1412,hero_skillDesc1412,1,,
111,Bell,The war destroyed Bell's life; and she had no choice but to take revenge against the Dark Legion. She didn't have to go to the front line. because her hometown is the front line. A world where gender doesn't matter this beautiful lady killed 800 Dark Legion soldiers. With excellent tracking ability and sniper shooting skills. she never missed any enemy that appeared in the scope.,Western Enforcer,临时士兵6,0,When we attack; there's a chance to attack three extra enemy units. If our troops defend any building; the DMG of the opponents is reduced when being hit by this skill,10,5,1,470,95,130,25,400,380|100|0;380|100|0;380|100|0;380|100|0;1140|300|300,760|200|0;760|200|0;760|200|0;760|200|0;2280|600|400,1128|312|0;1128|312|0;1128|312|0;1128|312|0;3384|936|400,1520|400|0;1520|400|0;1520|400|0;1520|400|0;4560|1200|500,10111,3,image/hero_icon/hero_icon111,,hero_tachie111,image/hero_icon/black_hero_icon111,No. 111,1,,1,,,,,,,,2,2109|2157,,1,,,,,,,,,,,,,,,111,When we attack; there's a chance to attack three extra enemy units. If our troops defend any building; the DMG of the opponents is reduced when being hit by this skill,1,,
114,Gira,"What doesn't kill me makes me stronger." Gira is a legendary fighter in boxing history. She desires to win. But now her best friend Florence has joined the Dark Legion and became her enemy. In order to save Florence; the love of her life; she will use her power to prove that joining the Dark Legion was the biggest mistake.,The Fierce Fist,4月新英雄,0,It increases the Army Decreased DMG Taken and launches a powerful attack after the rage points reach the maximum amount. This powerful attack will be released in the next normal attack if the enemy is defeated (Each time the enemy launches a normal attack; you can gain 1 rage point at most).,10,5,1,446,88,154,31,400,352|124|0;352|124|0;352|124|0;352|124|0;1056|372|300,704|248|0;704|248|0;704|248|0;704|248|0;2112|744|400,1056|372|0;1056|372|0;1056|372|0;1056|372|0;3168|1116|400,1408|496|0;1408|496|0;1408|496|0;1408|496|0;4224|1488|500,10114,1,image/hero_icon/hero_icon114,,hero_tachie114,image/hero_icon/black_hero_icon114,No. 114,1,,1,1412,1412,,jp_activityhero114,,,,2,2119,,1,2200046,,,Idle2,Idle1,,,,1|1;4|1,,,,,,114,It increases the Army Decreased DMG Taken and launches a powerful attack after the rage points reach the maximum amount. This powerful attack will be released in the next normal attack if the enemy is defeated (Each time the enemy launches a normal attack; you can gain 1 rage point at most).,1,,
1115,Bell5,The war destroyed Bell's life; and she had no choice but to take revenge against the Dark Legion. She didn't have to go to the front line. because her hometown is the front line. A world where gender doesn't matter this beautiful lady killed 800 Dark Legion soldiers. With excellent tracking ability and sniper shooting skills. she never missed any enemy that appeared in the scope.5,Western Enforcer5,,1,When we attack; there's a chance to attack three extra enemy units. If our troops defend any building; the DMG of the opponents is reduced when being hit by this skill5,10,5,1,448,84,152,36,400,352|124|0;352|124|0;352|124|0;352|124|0;1056|372|300,704|248|0;704|248|0;704|248|0;704|248|0;2112|744|400,1056|372|0;1056|372|0;1056|372|0;1056|372|0;3168|1116|400,1408|496|0;1408|496|0;1408|496|0;1408|496|0;4224|1488|500,11115,4,image/hero_icon/hero_icon1115,,hero_tachie1115_Yamato,,,2,,1,213,213,g123,jp_activityhero1115,,2021-08-12-0-0-0,2021-08-25-23-59-59,1,2050|2051|2052|2053|2054|2055,,,2200049,,1,,,,,,,,,,,,1115,When we attack; there's a chance to attack three extra enemy units. If our troops defend any building; the DMG of the opponents is reduced when being hit by this skill5,1,,
213,Bassel,Bassel is arbitrary; violent and absurd; but these characteristics prevent the island in the Arabian Sea from being invaded by the Dark Legion. He rules the country with an iron fist; and holds the whole country together. he barely has enemies; and he doesn't believe much in Alliance either. Another thing you should know about him is: He doesn't tolerate betrayal; those who betrayed him would pay the price.,The Curly Beard,,1,Send this hero to battle to increase the Attack of your Navy units significantly,10,5,1,448,84,152,36,400,352|124|0;352|124|0;352|124|0;352|124|0;1056|372|300,704|248|0;704|248|0;704|248|0;704|248|0;2112|744|400,1056|372|0;1056|372|0;1056|372|0;1056|372|0;3168|1116|400,1408|496|0;1408|496|0;1408|496|0;1408|496|0;4224|1488|500,10213,1,image/hero_icon/hero_icon213,,hero_tachie213,image/hero_icon/black_hero_icon213,No. 213,2,,1,1115,1115,,jp_activityhero213,,,,2,2002|2003|2004|2005|2006|2008|2009|2010|2012|2013|2014|2015|2016|2040|2041|2048|2049|2161,,1,2200048,,,,,,,,,,,,,,213,Send this hero to battle to increase the Attack of your Navy units significantly,1,,
115,Diana,Diana's foster-father is the instructor of the famous Special Air Service (SAS). In this top secret mission; he was ambushed by a young lady right in his command post. As a result; he had to call it quits; but he was extremely impressed by her sneaking and stealth skills. And that young lady there; was Diana. After discovering that she has no family; he was determined to take Diana back to the base. He taught her about geography; basic world history; and the war. Extremely intelligent; little Diana has become a survival and combat expert in the wilderness.,Wild Doe,戴安娜，打野英雄,0,Increases ATK of all forces. When this hero participates in battle; the VIT cost against Dark Legion; Warhammer and Heartthrob will be reduced.,10,5,2,202,37,398,82,400,148|328|0;148|328|0;148|328|0;148|328|0;444|984|300,296|656|0;296|656|0;296|656|0;296|656|0;888|1968|400,444|984|0;444|984|0;444|984|0;444|984|0;1332|2952|400,592|1312|0;592|1312|0;592|1312|0;592|1312|0;1776|3936|500,10115,2,image/hero_icon/hero_icon115,1,hero_tachie115,image/hero_icon/black_hero_icon115,No. 115,1,,1,,,,,,,,2,2158|2165,,1,,,,Idle2,Idle1,2021-9-17-0-0-0,2022-9-16-0-0-0,14101361,,,,,,,115,Reduces VIT cost when attacking Dark Legion; Warhammer and Heartthrob; and increases Troop's ATK Bonus against them.,1,,
1401,hero_name1401,hero_desc1401,hero_label1401,,2,hero_skillDesc1401,10,5,2,225,35,375,85,400,140|340|0;140|340|0;140|340|0;140|340|0;420|1020|300,280|680|0;280|680|0;280|680|0;280|680|0;840|2040|400,420|1020|0;420|1020|0;420|1020|0;420|1020|0;1260|3060|400,560|1360|0;560|1360|0;560|1360|0;560|1360|0;1680|4080|500,11401,3,image/hero_icon/hero_icon1401,,hero_tachie1401_Gineiden,,,3,,1,313,313,g123,jp_activityhero1401,,2020-09-17-0-0-0,2020-10-1-0-0-0,1,2060|2061,,,2200053,Gineiden_hero_bg.jpg,1,,,,,,,,,,,,1401,hero_skillDesc1401,1,,
1402,hero_name1402,hero_desc1402,hero_label1402,,0,hero_skillDesc1402,10,5,2,215,37,385,82,400,148|328|0;148|328|0;148|328|0;148|328|0;444|984|300,296|656|0;296|656|0;296|656|0;296|656|0;888|1968|400,444|984|0;444|984|0;444|984|0;444|984|0;1332|2952|400,592|1312|0;592|1312|0;592|1312|0;592|1312|0;1776|3936|500,11402,2,image/hero_icon/hero_icon1402,,hero_tachie1402_Gineiden,,,1,,1,116,116,g123,jp_activityhero1402,,2020-09-24-0-0-0,2020-10-1-0-0-0,1,2060|2061,,,2200054,Gineiden_hero_bg.jpg,1,,,,,,,,,,,,1402,hero_skillDesc1402,1,,
313,Tsuru,Tsuru's family is the guardian of the Shinto shrine in a hidden village. When she was a little girl; she found herself a little bit different from those of her age: she's smarter; stronger and inspiring. Some even believe she has supernatural powers. She soon became the leader of the village after she grew up; and with her knowledge and tactics; this “Shrine Maiden” managed to defend their home against the Dark Legion for almost 3 months. The Freedom League helped them and eliminated those invaders. While many has tried to invite her to the League; she insists to guard her hometown.,Shrine Maiden,守护圣女,2,Increases the Rage when your units launch regular attack; when the Rage bar is full; Tsuru will launch a heavy strike which deals extra damage to enemies if their ATK was reduced (Rockfield; Teresa; Bell and Akatora will reduce the enemy's ATK; one regular attack gains you up to 1 Rage),10,5,2,225,35,375,85,400,140|340|0;140|340|0;140|340|0;140|340|0;420|1020|300,280|680|0;280|680|0;280|680|0;280|680|0;840|2040|400,420|1020|0;420|1020|0;420|1020|0;420|1020|0;1260|3060|400,560|1360|0;560|1360|0;560|1360|0;560|1360|0;1680|4080|500,10313,1,image/hero_icon/hero_icon313,,hero_tachie313,image/hero_icon/black_hero_icon313,No. 313,3,,1,1401,1401,,jp_activityhero313,,,,2,,,1,2200050,,,,,,,,1|1;4|1,,,,,,313,Increases the Rage when your units launch regular attack; when the Rage bar is full; Tsuru will launch a heavy strike which deals extra damage to enemies if their ATK was reduced (Rockfield; Teresa; Bell and Akatora will reduce the enemy's ATK; one regular attack gains you up to 1 Rage),1,,
116,Kuruzo,Kuruzo was an excellent army officer. He participated in a great landing battle and got injured when he was trying to save the lives of his comrades. He suffered severe hearing loss and eventually; he retired. Nevertheless; he found himself a job to train the newbies as an instructor. They call him "Sir Tinnitus"- try to imagine what would happen if you hear a big voice every day. Of course; he is still an excellent instructor.,Sir Tinnitus,,0,After getting this hero; you can speed-up the training of a number of units everyday for free,10,5,2,215,37,385,82,400,148|328|0;148|328|0;148|328|0;148|328|0;444|984|300,296|656|0;296|656|0;296|656|0;296|656|0;888|1968|400,444|984|0;444|984|0;444|984|0;444|984|0;1332|2952|400,592|1312|0;592|1312|0;592|1312|0;592|1312|0;1776|3936|500,10116,2,image/hero_icon/hero_icon116,,hero_tachie116,image/hero_icon/black_hero_icon116,No. 116,1,,1,1402,1402,,jp_activityhero116,,,,2,,,1,2200051,,,,,,,,1|1;4|1,,,,,,116,After getting this hero; you can speed-up the training of a number of units everyday for free,1,,
1117,Bell7,The war destroyed Bell's life; and she had no choice but to take revenge against the Dark Legion. She didn't have to go to the front line. because her hometown is the front line. A world where gender doesn't matter this beautiful lady killed 800 Dark Legion soldiers. With excellent tracking ability and sniper shooting skills. she never missed any enemy that appeared in the scope.7,Western Enforcer7,,0,When we attack; there's a chance to attack three extra enemy units. If our troops defend any building; the DMG of the opponents is reduced when being hit by this skill7,10,5,1,420,88,180,31,400,352|124|0;352|124|0;352|124|0;352|124|0;1056|372|300,704|248|0;704|248|0;704|248|0;704|248|0;2112|744|400,1056|372|0;1056|372|0;1056|372|0;1056|372|0;3168|1116|400,1408|496|0;1408|496|0;1408|496|0;1408|496|0;4224|1488|500,11117,3,image/hero_icon/hero_icon1117,,hero_tachie1117_Madoka,,,1,,1,117,117,g123,jp_activityhero1117,,2020-10-15-0-0-0,2020-10-29-0-0-0,1,2064|2065|2066|2067|2068|2069,,,2200057,Madoka_hero_bg.jpg,1,,,,,,,,,,,,1117,When we attack; there's a chance to attack three extra enemy units. If our troops defend any building; the DMG of the opponents is reduced when being hit by this skill7,1,,
117,Amalia,Amalia was born on an archeological site; her parents were well-known archaeologists. Just like her family; Amalia was also fascinated by Archaeology. In her world; the treasures and antiquities are fresh and alive; and she can hear the call of the treasure; so she can find all these relics and monuments; and strange secrets as well. Now she devotes herself to these strange secrets. She works for those who can invest in her research. She is willing to cooperate with the troops to obtain more information and returns.,Treasure Compass,,0,The hero will get a chest every time she defeats the Dark Legion; Warhammer; and Throb. The number of chests dropped each time is the Hero Star*1; and the daily limit is the Hero Star*4. The chest contains various items and Paint. (Paint can temporarily gain you buffs; which work like the base skin buffs. The effect is not stackable but effective time is stackable)\nFanatic Paint - increases the ATK of all units by 20%; lasts 30 minutes\nNatural Paint - increases the HP of Army by 20%; lasts 30 minutes\nTough Paint - DMG decrease (taken by your units) +10% for 30 minutes.    \n   \nHero at 1-3 star drops Ancient Silver Chest.\nOrange Universal Shard 2% \nPurple Universal Shard 9% \nFanatic Paint 10% \nNatural Paint 10%  \nSmall VIT Capsule 14%  \nTech Chest*100 35%  \nGeneral R&D Plan*100 15%    \nShining Gold Chest*5 5%  \n   \nHero at 4-5 star drops Ancient Gold Chest\nOrange Universal Shard 4% \nPurple Universal Shard 11% \nTough Paint 10% \nFanatic Paint 10% \nNatural Paint 10%  \nLarge VIT Capsule 5%  \nTech Chest*100 25%  \nGeneral R&D Plan*100 15%    \nShining Gold Chest*5 10%,10,5,1,420,88,180,31,400,352|124|0;352|124|0;352|124|0;352|124|0;1056|372|300,704|248|0;704|248|0;704|248|0;704|248|0;2112|744|400,1056|372|0;1056|372|0;1056|372|0;1056|372|0;3168|1116|400,1408|496|0;1408|496|0;1408|496|0;1408|496|0;4224|1488|500,10117,3,image/hero_icon/hero_icon117,,hero_tachie117,image/hero_icon/black_hero_icon117,No. 117,1,,1,117,1117,,jp_activityhero117,,,,2,2162,,1,2200056,,,,,,,,1|1;4|1,,,,,,117,The hero will get a chest every time she defeats the Dark Legion; Warhammer; and Throb. The number of chests dropped each time is the Hero Star*1; and the daily limit is the Hero Star*4. The chest contains various items and Paint. (Paint can temporarily gain you buffs; which work like the base skin buffs. The effect is not stackable but effective time is stackable)\nFanatic Paint - increases the ATK of all units by 20%; lasts 30 minutes\nNatural Paint - increases the HP of Army by 20%; lasts 30 minutes\nTough Paint - DMG decrease (taken by your units) +10% for 30 minutes.    \n   \nHero at 1-3 star drops Ancient Silver Chest.\nOrange Universal Shard 2% \nPurple Universal Shard 9% \nFanatic Paint 10% \nNatural Paint 10%  \nSmall VIT Capsule 14%  \nTech Chest*100 35%  \nGeneral R&D Plan*100 15%    \nShining Gold Chest*5 5%  \n   \nHero at 4-5 star drops Ancient Gold Chest\nOrange Universal Shard 4% \nPurple Universal Shard 11% \nTough Paint 10% \nFanatic Paint 10% \nNatural Paint 10%  \nLarge VIT Capsule 5%  \nTech Chest*100 25%  \nGeneral R&D Plan*100 15%    \nShining Gold Chest*5 10%,1,,
214,Violet,Violet loves competitions. She is a challenger that desires to compete with you in everything; she even chews her gum for longer durations than everyone else; I mean literally; she is holding the record for chewing gum the longest. She is very popular in the Freedom League as she always kill more enemies. With the help of Teresa; she developed a magnetic rubber bomb.,Bubble Killer,,1,Send this hero to battle to increase the ATK of naval units when attacking front row enemies.,10,5,1,407,90,193,30,400,256|224|0;256|224|0;256|224|0;256|224|0;768|672|300,512|448|0;512|448|0;512|448|0;512|448|0;1536|996|400,768|672|0;768|672|0;768|672|0;768|672|0;3072|1992|400,1024|896|0;1024|896|0;1024|896|0;1024|896|0;3072|2688|500,10214,1,image/hero_icon/hero_icon214,,hero_tachie214,image/hero_icon/black_hero_icon214,No. 214,2,,1,,,,,,,,2,2160,,1,,,,,,,,,,,,,,,214,Send this hero to battle to increase the ATK of naval units when attacking front row enemies.,1,,
1314,Pop4,Pop and Bob have known each other since they were children. They studyed mechanics from an expert; Vaillant. Vaillant's focus was on building more machines for the Dark Empire; rather than on new inventions. Soon after Bob learned that his studies and creations were being used as war machines by the Dark Empire; he left Vaillant's invention studio but Pop stayed. Years later despite the fact that the empire has fallen; Pop has advanced to the rank of master mechanic.4,The Mechanic4,守护圣女,2,You'll receive a Pop's Box every time she defeats the Dark Forces; Warhammer; and Throb. When this hero participates in battle; ATK of the first two rows will be increased and her skill gains you rage; which when activated attacks the row with the most number of units (Can't use universal shards to upgrade her; nor can she perform the Perk Exchange)4,10,5,1,452,85,158,35,400,352|124|0;352|124|0;352|124|0;352|124|0;1056|372|300,704|248|0;704|248|0;704|248|0;704|248|0;2112|744|400,1056|372|0;1056|372|0;1056|372|0;1056|372|0;3168|1116|400,1408|496|0;1408|496|0;1408|496|0;1408|496|0;4224|1488|500,11314,3,image/hero_icon/hero_icon1314,,hero_tachie1314_Kochikame,,,3,,1,314,314,g123,jp_activityhero1314,,2020-12-17-0-0-0,2020-12-24-0-0-0,1,2080|2081|2083|2084,,,2200061,Kochikame_hero_bg.jpg,1,,,,,,,,,,,,1314,You'll receive a Pop's Box every time she defeats the Dark Forces; Warhammer; and Throb. When this hero participates in battle; ATK of the first two rows will be increased and her skill gains you rage; which when activated attacks the row with the most number of units (Can't use universal shards to upgrade her; nor can she perform the Perk Exchange)4,1,,
314,Dante,Dante was a poet and a philosopher before joining the Air Force Special Operations Command. His mythological long poems were full of imagination. He even believed that this war was a continuation of his poetry. He was severely injured for resisting the invasion of the veteran; which forced him to join the Raven and perform operation "Bear Hunt". After completing the mission; he was transferred to the Allied Air Command as the Senior Military Officer.,Hawkeye,,2,Greatly increases the ATK and HP of your Air Force. When using this hero in your defense troop; Aerial Surveillance will provide intelligence that gains all units (including naval and army units) the same bonus.,10,5,1,452,85,158,35,400,352|124|0;352|124|0;352|124|0;352|124|0;1056|372|300,704|248|0;704|248|0;704|248|0;704|248|0;2112|744|400,1056|372|0;1056|372|0;1056|372|0;1056|372|0;3168|1116|400,1408|496|0;1408|496|0;1408|496|0;1408|496|0;4224|1488|500,10314,3,image/hero_icon/hero_icon314,,hero_tachie314,image/hero_icon/black_hero_icon314,No. 314,3,,1,,1314,,jp_activityhero314,,2020-12-10-0-0-0,2020-12-24-0-0-0,2,2179,,1,2200060,,,,,,,,1|1;4|1,,,,,,314,Greatly increases the ATK and HP of your Air Force. When using this hero in your defense troop; Aerial Surveillance will provide intelligence that gains all units (including naval and army units) the same bonus.,1,,
118,Ben,Ben was raised by his mother. He was born in the sinful neighborhood of the Fallen City. Street bullying and fighting... that's what it's all about. Ben has become a fighter; and a threat to the gangs even though mom cautioned him to stay away from the gangs. Ben had to go against his mother's advice when she was caught and held as leverage. He had to save his mother and was thus framed and jailed. Years of jail life made him even tougher and stronger; just waiting for an opportunity to get his revenge. Shortly after leaving jail he was recruited by the "Raven" squad and performed well in his first operation called "Bear Hunt". He led the team well and got promoted to captain of the squad. Now; he is retired; he is free; and he is a member of the Men of Freedom.,Big Ben,,0,Ben is taking the lead and keeps troops under his protection.,10,5,1,445,89,155,31,400,384|96|0;384|96|0;384|96|0;384|96|0;1152|288|300,768|192|0;768|192|0;768|192|0;768|192|0;2304|576|400,1152|288|0;1152|288|0;1152|288|0;1152|288|0;3456|864|400,1536|384|0;1536|384|0;1536|384|0;1536|384|0;4608|1152|500,10118,3,image/hero_icon/hero_icon118,,hero_tachie118,image/hero_icon/black_hero_icon118,No. 118,1,,1,,,,,,,,2,2090,,1,,,,,,,,,,,,,,,118,Ben is taking the lead and keeps troops under his protection.,1,,
119,Silence,Silence moves like a cat; she loves reading books on a peaceful afternoon; resting in her cozy living room; and she hates violence. She hates those hypocrites who advocate anti-war movements; while claiming that this is the war to end all wars. She believes that the man behind the organization should take responsibility for lives lost in the war. She received her first assassination mission from a little girl; who lost her mother during the conflict. Silence managed to sneak into the organization leader's office and ended his life. The Freedom League valued her assassination skill; and helped her escape from her pursuers. They sent a troop to escort her to the "SaND" for more missions and she has been working for "SaND" and eliminating her pursuers ever since.,The Silencer,,0,Silence throws out 2 Torrid Grenades with an explosion that would cause huge damage to the enemies. The shrapnel can also deal an extra burning damage.,10,5,1,470,92,130,28,400,380|100|0;380|100|0;380|100|0;380|100|0;1140|300|300,760|200|0;760|200|0;760|200|0;760|200|0;2280|600|400,1128|312|0;1128|312|0;1128|312|0;1128|312|0;3384|936|400,1520|400|0;1520|400|0;1520|400|0;1520|400|0;4560|1200|500,10119,3,image/hero_icon/hero_icon119,,hero_tachie119,image/hero_icon/black_hero_icon119,No. 119,1,,1,,,,,,2021-1-29-0-0-0,2029-12-24-0-0-0,1,,,1,,,,,,,,,1|1;4|1,,,,,,119,Silence throws out 2 Torrid Grenades with an explosion that would cause huge damage to the enemies. The shrapnel can also deal an extra burning damage.,1,,
215,914,Agent 914 is a spy working for the Faceless. The Faceless is excellent at disguising; so they also call them the agents with "Thousand Faces". It is said that their code name refers to the number of faces they have worn. Well; you may have run into one of those Faceless agents; if you are an important person. Like all the other Faceless agents; we barely know anything about this 914. Rumor has it that this organization is supported by the Freedom League; but somehow others are convinced that they work for the Dark Empire.,The Faceless,,1,914 intercepted the enemy's plan and strategy; giving us a great advantage.,10,5,2,190,34,410,86,400,140|340|0;140|340|0;140|340|0;140|340|0;420|1020|300,280|680|0;280|680|0;280|680|0;280|680|0;840|2040|400,420|1020|0;420|1020|0;420|1020|0;420|1020|0;1260|3060|400,560|1360|0;560|1360|0;560|1360|0;560|1360|0;1680|4080|500,10215,3,image/hero_icon/hero_icon215,,hero_tachie215,image/hero_icon/black_hero_icon215,black_914,2,,1,,,,,,2021-2-17-12-0-0,2029-1-21-0-0-0,1,2101|2172,,1,,,,,,2021-02-18-0-0-0,2021-02-25-0-0-0,14101206,1|1;4|1,,,,,,215,914 intercepted the enemy's plan and strategy; giving us a great advantage.,1,,
315,Villiers,Jane Villiers was born with a pair of heterochromatic eyes; so she was abandoned by her parents and everyone in her village treated her like a jinx. The poor little girl was adopted by the Duke of Buckingham; and the Duke treated her as his own family. With great efforts; she finally became a famous singer. During the war; the Duke of Buckingham participated in the Great Landing Campaign. Jane always visits her father to check up on him and all the soldiers love her encouraging song. "Her song sounds like a rainbow!!" a soldier said. And many soldiers even believe that anyone she kisses will be blessed with winning in the coming battles.,Heterochromia Celeb,,2,Set her in the formation to buff the ATK of all forces! Use her skill in Hero Panel to reduce damage taken.\nNOTE:\n1. The active skill is NOT effective for defense troops in the Warzone Exercise and Dimensional Mine.\n2. If you upgrade the hero/skill during the duration of this skill; you'll need to activate this skill again.,10,5,2,195,38,405,82,400,140|340|0;140|340|0;140|340|0;140|340|0;420|1020|300,280|680|0;280|680|0;280|680|0;280|680|0;840|2040|400,420|1020|0;420|1020|0;420|1020|0;420|1020|0;1260|3060|400,560|1360|0;560|1360|0;560|1360|0;560|1360|0;1680|4080|500,10315,3,image/hero_icon/hero_icon315,,hero_tachie315,image/hero_icon/black_hero_icon315,black_Villiers,3,,1,,,,,,2021-3-17-0-0-0,2029-1-21-0-0-0,1,2112|2113|2180,,1,,,,,,2021-03-11-0-0-0,2021-03-25-0-0-0,14101226,1|1;4|1,30315,,,,,315,Set her in the formation to buff the ATK of all forces! Use her skill in Hero Panel to reduce damage taken.\nNOTE:\n1. The active skill is NOT effective for defense troops in the Warzone Exercise and Dimensional Mine.\n2. If you upgrade the hero/skill during the duration of this skill; you'll need to activate this skill again.,1,,
